pair,hour,hold,side,dow,n_tr,mean_tr,t_tr,n_te,mean_te,t_te,n,mean
GBPUSD,2,2,1,,1583,0.5183828174352219,1.0069934783049885,825,-0.9343030303030713,-1.488946263251627,2408,0.02068106312289132
GBPUSD,2,2,-1,,1583,-0.9183828174352218,-1.7840203738238194,825,0.5343030303030716,0.851488729685183,2408,-0.4206810631228912
GBPUSD,3,2,1,,1580,0.6688607594935743,1.4632375393564363,825,-0.33660606060612114,-0.5455090433569921,2405,0.3239501039500197
GBPUSD,3,2,-1,,1580,-1.0688607594935744,-2.338300110205605,825,-0.06339393939387884,-0.10273720910168636,2405,-0.7239501039500198
GBPUSD,4,2,1,,1578,-0.9522813688212538,-2.5823631472018977,822,-0.14805352798049473,-0.26790434617653064,2400,-0.6768333333332938
GBPUSD,4,2,-1,,1578,0.5522813688212539,1.4976572055542607,822,-0.2519464720195053,-0.45589967208860827,2400,0.27683333333329385
GBPUSD,5,2,1,,1522,-1.7529566360052422,-4.469643090852173,822,-2.1127737226277317,-5.162269588655859,2344,-1.8791382252559614
GBPUSD,5,2,-1,,1522,1.352956636005242,3.4497335279920436,822,1.7127737226277313,4.184925061247526,2344,1.4791382252559615
GBPUSD,6,2,1,,1532,0.7215404699739214,2.2448162333521884,809,1.1402966625463784,1.95906243642803,2341,0.8662537377189525
GBPUSD,6,2,-1,,1532,-1.1215404699739213,-3.489273794233464,809,-1.5402966625463788,-2.6462739317430404,2341,-1.2662537377189527
GBPUSD,7,2,1,,1580,0.6803164556961587,1.5574849252380312,821,3.2069427527405674,5.692734854440451,2401,1.544273219491852
GBPUSD,7,2,-1,,1580,-1.0803164556961586,-2.473226364209563,821,-3.6069427527405673,-6.402786176632041,2401,-1.9442732194918517
GBPUSD,8,2,1,,1580,0.2290506329113519,0.5488493161662764,821,0.2912302070646283,0.608390754900684,2401,0.2503123698458958
GBPUSD,8,2,-1,,1580,-0.6290506329113519,-1.507326154566796,821,-0.6912302070646282,-1.4440056604186033,2401,-0.6503123698458958
GBPUSD,9,2,1,,1580,0.4043670886075675,1.1429704248515773,821,-0.5049939098660137,-0.9702490891489934,2401,0.09341940857974156
GBPUSD,9,2,-1,,1580,-0.8043670886075676,-2.273596983790764,821,0.10499390986601352,0.20172569099045096,2401,-0.4934194085797416
GBPUSD,10,2,1,,1579,0.07447751741611808,0.10992292156436158,821,0.9213154689403037,1.9831861490198426,2400,0.36416666666668324
GBPUSD,10,2,-1,,1579,-0.4744775174161182,-0.7002912656121593,821,-1.321315468940304,-2.8442098551781267,2400,-0.7641666666666833
GBPUSD,11,2,1,,1579,0.25484483850541,0.39035373779414567,821,-0.19354445797808434,-0.5271608680773725,2400,0.101458333333348
GBPUSD,11,2,-1,,1579,-0.65484483850541,-1.0030461353854887,821,-0.2064555420219155,-0.5623270430403189,2400,-0.5014583333333479
GBPUSD,12,2,1,,1580,-0.18867088607594662,-0.6825657175643054,821,-0.717052375152284,-2.238017394077296,2401,-0.3693461057892632
GBPUSD,12,2,-1,,1580,-0.2113291139240533,-0.7645377158494724,821,0.3170523751522842,0.9895633220287952,2401,-0.030653894210736724
GBPUSD,13,2,1,,1583,-0.31876184459889595,-0.9591941245675364,824,0.2876213592232405,0.7684303203343863,2407,-0.111175737432531
GBPUSD,13,2,-1,,1583,-0.08123815540110406,-0.2444557360668297,824,-0.6876213592232403,-1.8370996603439511,2407,-0.28882426256746896
GBPUSD,14,2,1,,1583,-1.020846493998735,-2.246743762514374,824,0.27390776699032665,0.5142944154780975,2407,-0.5776069796426955
GBPUSD,14,2,-1,,1583,0.6208464939987349,1.3663983724004483,824,-0.6739077669903265,-1.2653419978509772,2407,0.1776069796426956
GBPUSD,15,2,1,,1585,-1.570157728706617,-2.5834312556762278,824,-1.171116504854425,-1.4902933800903582,2409,-1.4336654213366684
GBPUSD,15,2,-1,,1585,1.170157728706617,1.9252983284054694,824,0.7711165048544256,0.9812771126522671,2409,1.0336654213366687
GBPUSD,16,2,1,,1587,-1.217706364209224,-1.5550021025191703,824,-1.0004854368931937,-1.047712329277796,2411,-1.1434674408959062
GBPUSD,16,2,-1,,1587,0.8177063642092243,1.044205034121163,824,0.6004854368931938,0.6288307381448931,2411,0.7434674408959066
GBPUSD,17,2,1,,1587,-0.905482041587902,-1.2106427148450793,824,0.545995145631029,0.6291829570999725,2411,-0.40941518042307445
GBPUSD,17,2,-1,,1587,0.5054820415879026,0.6758368725460848,824,-0.9459951456310286,-1.090126950565555,2411,0.009415180423074994
GBPUSD,18,2,1,,1587,-0.6399495904221607,-0.9784927463369464,824,0.4627427184465969,0.5521311554253541,2411,-0.2630858564910714
GBPUSD,18,2,-1,,1587,0.23994959042216096,0.3668866067399475,824,-0.862742718446597,-1.0293995237133131,2411,-0.13691414350892844
GBPUSD,19,2,1,,1587,-1.005419029615643,-1.478294851653914,824,-0.810922330097088,-0.9667569692009581,2411,-0.9389464952302056
GBPUSD,19,2,-1,,1587,0.6054190296156426,0.8901640094441556,824,0.4109223300970885,0.48988911968189913,2411,0.5389464952302058
GBPUSD,20,2,1,,1587,-0.60497794580973,-0.843587538128563,824,-1.2690533980582688,-1.4306760133198941,2411,-0.8319369556200975
GBPUSD,20,2,-1,,1587,0.20497794580972986,0.28582337897431986,824,0.8690533980582689,0.979733282144384,2411,0.43193695562009743
GBPUSD,21,2,1,,1587,-0.7710144927535684,-1.002154540365581,824,0.6180825242718195,0.6393103649519177,2411,-0.2962671090833404
GBPUSD,21,2,-1,,1587,0.37101449275356857,0.48223977882249847,824,-1.0180825242718199,-1.0530482331792117,2411,-0.10373289091665956
GBPUSD,22,2,1,,1586,-1.1249684741488042,-1.53007065729741,823,0.8685297691372931,0.850681056804416,2409,-0.44391863843919105
GBPUSD,22,2,-1,,1586,0.7249684741488043,0.9860302890710481,823,-1.2685297691372925,-1.2424608608055583,2409,0.043918638439191277
GBPUSD,23,2,1,,1587,-0.3462507876496812,-0.48127734560359675,823,-0.9600243013365427,-0.9428726626741806,2410,-0.5558506224066468
