pair,hour,hold,n,mean,t,n_tr,t_tr,n_te,t_te,win
GBPJPY,3,1,2405,-0.46276871422005,-1.3839495681554395,1580,-2.559930668174458,825,1.4575302529218936,48.773388773388774
GBPJPY,4,1,2399,-0.6220446425998125,-1.8697512918423635,1578,-1.2535532242076781,821,-1.541300402620655,49.56231763234681
GBPJPY,5,1,2342,0.6101685198016962,2.1032789499182596,1520,0.6109062197975246,822,2.908862862636847,53.1596925704526
GBPJPY,6,1,2343,-1.2829553008855112,-4.2465378035475245,1533,-4.382262746445496,810,-0.684806174679581,45.710627400768246
GBPJPY,7,1,2401,-2.2410841250719074,-5.712909051379727,1580,-3.1593692062912866,821,-4.921707888121176,40.2332361516035
GBPJPY,8,1,2400,-0.6203183503947525,-1.5212799414464422,1579,0.4046685097468924,821,-4.799539106563717,46.708333333333336
GBPJPY,9,1,2400,0.14376498293859127,0.37328706851252236,1579,-0.2630396812476497,821,1.273348337760434,49.5
GBPJPY,10,1,2399,0.4268507304723161,1.0740328462170083,1578,0.4818484304923878,821,1.315029063538798,49.6040016673614
GBPJPY,11,1,2401,0.5258046712628991,0.8487512595214033,1580,1.1648313480730936,821,-1.303189504163433,48.47980008329863
GBPJPY,12,1,2401,0.0046051710546639885,0.01283792348126468,1580,-0.16565080761673032,821,0.5105431377790247,48.22990420658059
GBPJPY,13,1,2407,0.4792203388449991,1.558541977815465,1583,1.5134665253315505,824,0.4296335730052723,49.314499376817615
GBPJPY,14,1,2407,-0.4343650371417185,-1.218227066551774,1583,-1.0110851151087543,824,-0.7578756234328842,48.026589115081016
GBPJPY,15,1,2409,-0.058312383188416396,-0.1437417708615254,1585,0.5709638718501965,824,-1.4673810993539769,48.94146948941469
GBPJPY,16,1,2411,0.0006916558267558314,0.0012957450033748844,1587,-0.6574178636866761,824,1.2290894373832233,48.98382413936126
GBPJPY,17,1,2411,0.6257849780996992,1.0854148673545274,1587,1.2263111972934715,824,-0.015109921987874603,50.4769805060141
GBPJPY,18,1,2411,-0.5823859053511876,-1.191118042286669,1587,-0.4128995281891807,824,-1.707057612905706,48.154292824554126
GBPJPY,19,1,2411,-0.4214568302785767,-0.9252193203263623,1587,-0.8197055238828173,824,-0.4289925741006317,49.89630858564911
GBPJPY,20,1,2411,-0.012166079552741696,-0.02555038338209458,1587,-0.13796498981167019,824,0.18724356989585692,50.352550808793026
